Letters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2,,,,,,1,1,3,6,6,3,5,3,2,5,6,17,19,14,12,9,5,2,,,,2,,1,3,1,,1,,,,,,,,,,
3,1,4,12,13,23,19,44,28,32,33,32,36,27,37,24,55,33,36,54,66,43,64,57,64,45,62,59,40,44,44,56,33,42,34,16,17,11,7,1,2,,,1
4,60,123,176,223,194,239,287,278,243,257,260,267,278,243,261,213,192,208,195,171,176,143,146,123,106,103,70,53,65,61,52,47,47,27,15,21,22,9,6,1,1,,
5,833,1165,1274,1196,1059,971,870,734,698,556,485,464,404,334,324,258,228,191,192,154,116,88,92,88,71,39,27,31,15,18,9,11,7,8,3,1,2,,,1,1,,
6,4030,4326,3404,2481,1749,1347,1012,847,652,578,451,441,371,340,263,212,175,136,130,69,51,31,21,13,6,3,1,,,,,,,,,,,,,,,,
7,10182,8094,4978,3023,1886,1381,1082,855,669,546,425,308,272,231,160,135,98,78,44,26,17,10,1,2,2,1,,,,,,,,,,,,,,,,,
8,17969,11336,5808,3043,1677,954,615,367,242,170,71,57,23,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23433,11978,4787,1930,655,240,87,37,20,7,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23410,9427,3187,1081,245,62,17,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19439,6961,1982,596,119,48,16,10,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14789,4654,1273,335,63,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10344,3237,680,147,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6814,2011,493,91,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4292,1370,255,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
