Letters,Words,Islands,Doublets,Longest,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
2,127,0,0,5,127,127,127,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1285,1,0,9,1284,1284,1284,1284,1284,1245,723,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5191,65,16,17,5126,5110,5103,5101,5101,5101,5101,5101,5101,5052,4365,2572,653,95,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11798,861,310,30,10937,10627,10536,10486,10449,10432,10430,10427,10427,10427,10427,10427,10427,10427,10427,10427,10393,9839,7967,5583,3230,1488,547,215,87,46,21,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20952,3925,1898,50,17027,15129,14312,13865,13617,13476,13379,13320,13274,13242,13229,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13217,13177,13001,12518,11267,8929,6160,4150,2853,1942,1317,907,633,434,269,162,98,62,42,28,18,13,7,3,,,,,,,,,,,
7,31498,9605,4874,53,21893,17019,14758,13501,12849,12437,12163,11999,11885,11783,11690,11614,11552,11493,11432,11382,11351,11324,11312,11298,11285,11275,11264,11256,11251,11251,11251,11251,11250,11234,11176,10987,10529,9791,8868,7895,7074,6269,5242,3815,2441,1516,941,588,369,221,141,85,50,26,13,4,,,,,,,,
8,39095,16959,8331,61,22136,13805,10237,8523,7594,7014,6646,6387,6169,6006,5863,5717,5570,5394,5187,4988,4797,4600,4348,4006,3639,3327,3031,2777,2544,2371,2247,2160,2094,2042,1992,1923,1859,1806,1753,1698,1653,1607,1560,1509,1437,1327,1149,865,579,418,340,290,256,223,179,137,102,78,69,58,46,31,16,4
9,39967,22021,9654,32,17946,8292,4382,2845,2128,1674,1352,1138,971,876,809,731,662,598,542,488,423,379,353,329,299,264,229,188,143,103,67,34,19,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,34327,21823,7943,11,12504,4561,1568,535,227,113,68,36,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,26061,17772,5818,7,8289,2471,671,152,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18679,13275,3885,7,5404,1519,374,83,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12541,9135,2655,5,3406,751,152,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7908,5821,1577,6,2087,510,125,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4773,3526,1002,4,1247,245,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
