Letters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2,,,,,,1,1,3,6,6,3,5,3,2,5,6,17,19,14,12,9,5,2,,,,2,,1,3,1,,1,,,,,,,,,,
3,1,4,12,13,21,22,44,27,31,29,34,36,23,40,30,48,34,40,52,58,48,59,63,56,50,62,57,46,46,47,55,41,34,33,18,12,12,5,1,2,,,1
4,59,124,178,215,199,235,289,273,239,255,266,266,278,247,243,225,195,207,188,167,178,137,148,124,107,103,74,56,63,61,52,49,42,27,17,18,21,6,5,1,1,,
5,814,1174,1261,1188,1072,968,864,728,702,548,487,459,410,327,331,252,231,182,193,155,110,92,92,84,73,43,26,30,18,15,9,12,6,8,3,3,,,,2,,,
6,3986,4313,3400,2470,1739,1347,1019,841,644,582,438,453,367,341,255,217,174,136,123,66,51,30,21,11,5,3,1,,,,,,,,,,,,,,,,
7,10103,8089,4951,2996,1886,1382,1088,844,672,547,417,299,276,230,156,136,94,74,48,23,18,7,1,2,2,1,,,,,,,,,,,,,,,,,
8,17877,11295,5796,3035,1660,948,612,367,239,165,69,58,21,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23315,11907,4758,1912,647,240,85,36,20,7,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23291,9382,3164,1070,244,62,17,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19347,6928,1964,592,119,47,16,10,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14714,4641,1268,330,61,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10281,3216,675,146,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6788,2003,488,91,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4273,1358,255,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
