Letters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2,,,,,,,,,,,,,,,,1,,1,1,3,4,5,4,13,11,10,10,14,13,18,22,38,30,19,26,36,30,20,13,11,19,14,2,5,5,4,1,1,,1,,,,
3,1,3,5,9,15,30,38,63,65,81,81,80,74,78,66,75,65,71,67,61,51,76,59,61,72,66,66,72,61,77,74,73,87,98,90,68,78,77,37,43,30,37,18,29,14,13,9,2,3,1,1,1,,1
4,122,165,237,261,285,346,365,401,430,361,383,377,370,388,358,345,336,339,321,294,258,275,214,213,211,197,202,166,166,138,110,93,103,67,68,59,49,42,46,31,24,15,6,5,5,5,2,4,4,1,,,1,
5,1043,1644,1875,1914,1819,1713,1455,1281,1255,1039,958,834,701,669,603,519,451,409,359,296,262,234,185,159,153,115,107,86,63,44,38,33,22,12,11,10,6,8,7,,4,6,,,,,,,,1,,,,
6,6086,7086,6185,4921,3767,3022,2228,1731,1424,1080,860,722,633,540,435,368,349,301,225,190,157,114,82,54,45,27,17,8,6,2,2,,,,,,,,,,,,,,,,,,,,,,,
7,17776,15555,10465,6755,4460,2930,2138,1520,1242,996,823,647,546,415,333,238,197,169,110,97,73,50,28,21,19,8,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
8,35879,24019,13286,7178,3936,2369,1468,1044,737,449,282,155,108,53,30,15,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,53123,28442,12742,5489,2373,1049,476,234,93,43,13,6,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,62684,26344,9468,3321,1018,310,111,43,8,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,60975,20416,6071,1728,379,111,42,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,52107,14780,3720,947,249,47,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,40982,10365,2107,453,105,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,30444,6918,1214,240,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21538,4327,709,115,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
