Letters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2,,,,1,,1,3,3,4,5,1,2,8,12,15,18,11,6,8,3,1,,,,,2,,3,,,,,,,,,,
3,5,7,10,21,28,27,28,34,32,27,32,35,32,40,37,34,45,49,48,64,52,47,53,45,47,41,30,39,36,19,13,12,6,1,,2,,
4,71,127,198,213,233,229,236,243,205,247,199,201,209,182,171,147,152,156,105,104,123,88,74,55,48,49,39,34,32,18,12,9,3,4,2,,,
5,801,1042,1095,1008,801,748,619,511,409,353,325,300,246,220,175,144,119,114,79,62,56,53,39,20,21,14,17,8,4,6,3,2,1,2,,,,1
6,3486,3463,2457,1729,1121,890,696,537,434,369,321,274,229,167,142,112,72,50,32,13,12,7,,1,,,,,,,,,,,,,,
7,8397,6121,3505,2094,1395,943,779,554,433,305,246,165,134,102,65,48,25,10,9,,1,,,,,,,,,,,,,,,,,
8,14640,8453,4236,2091,1048,555,279,173,71,28,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,18106,8407,3096,1023,312,91,29,17,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16822,5722,1814,455,103,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13504,3882,955,223,72,16,5,7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10131,2626,580,110,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7297,1650,293,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4843,990,222,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3110,628,89,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
