Letters,Words,Islands,Doublets,Longest,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2,107,0,0,6,107,107,107,67,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1078,5,0,11,1073,1073,1073,1073,1073,1073,926,216,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4218,71,19,18,4147,4128,4120,4120,4120,4120,4120,4120,4120,4118,4087,3915,3127,1563,305,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9418,801,286,29,8617,8331,8228,8186,8156,8127,8115,8105,8094,8088,8088,8088,8088,8088,8088,8066,7438,6163,4390,2464,1142,530,250,123,61,31,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16614,3486,1761,48,13128,11367,10597,10164,9874,9706,9588,9514,9471,9450,9428,9414,9405,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9398,9393,9376,9306,9151,8759,7891,6543,4970,3686,2638,1767,1190,782,503,321,217,139,85,45,21,12,3,,,,,,,,,,
7,25331,8397,4185,58,16934,12749,10923,9928,9415,9127,8978,8872,8806,8756,8716,8694,8661,8635,8614,8595,8575,8557,8538,8527,8522,8519,8519,8519,8519,8519,8519,8519,8519,8519,8519,8498,8400,8133,7710,7220,6734,6263,5777,5349,4931,4298,3367,2351,1654,1212,915,704,547,417,309,205,118,60,34,15,5
8,31586,14640,6944,44,16946,10002,7126,5768,5006,4564,4248,4022,3849,3706,3553,3415,3292,3140,2923,2683,2442,2207,1981,1749,1550,1396,1293,1221,1179,1143,1113,1085,1054,1012,959,888,802,696,557,413,251,136,71,32,15,7,3,,,,,,,,,,,,,,
9,31089,18106,7645,28,12983,5338,2538,1521,1090,829,670,560,469,420,387,349,313,271,221,177,135,107,82,63,48,41,35,27,20,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24937,16822,5542,10,8115,2573,809,291,144,68,35,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18666,13504,3833,28,5162,1329,435,199,149,128,119,112,107,107,107,107,107,107,105,99,92,81,69,59,48,41,35,27,20,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13469,10131,2601,5,3338,737,166,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9304,7297,1634,5,2007,373,84,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6095,4843,973,6,1252,279,77,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3835,3110,604,5,725,121,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
