Letters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2,,,,1,,1,3,3,4,5,1,2,8,12,15,18,11,6,8,3,1,,,,,2,,3,,,,,,,,,,
3,5,7,10,20,35,23,30,29,40,19,36,40,28,37,28,39,42,53,49,62,52,48,49,48,49,37,34,36,36,19,13,12,5,1,,2,,
4,67,129,194,216,229,235,226,243,204,245,196,205,208,183,158,145,156,155,107,111,114,98,74,59,46,52,37,29,38,15,11,6,5,4,1,,,
5,794,1043,1091,1000,808,727,626,497,415,345,339,294,245,216,184,138,124,110,74,67,61,51,36,19,22,14,17,7,5,4,5,2,1,1,,,,1
6,3466,3477,2441,1696,1145,887,685,548,418,366,317,286,216,163,150,109,83,50,34,13,10,8,,1,,,,,,,,,,,,,,
7,8380,6104,3504,2077,1383,962,766,544,433,300,257,157,136,93,79,47,27,10,9,,1,,,,,,,,,,,,,,,,,
8,14632,8432,4212,2084,1052,554,275,171,70,29,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,18075,8371,3090,1007,314,91,29,17,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16735,5680,1786,461,103,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13043,3681,876,217,73,15,5,7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9539,2474,403,76,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6808,1447,179,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4520,881,133,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2909,529,51,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
