Letters,Words,Islands,Doublets,Longest,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2,107,0,0,6,107,107,107,67,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1073,5,0,11,1068,1068,1068,1068,1068,1068,936,257,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4201,67,23,18,4134,4111,4103,4103,4103,4103,4103,4103,4103,4101,4070,3901,3106,1578,312,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9383,794,287,29,8589,8302,8196,8154,8124,8095,8083,8073,8062,8056,8056,8056,8056,8056,8056,8040,7426,6150,4371,2466,1149,536,254,125,60,31,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16569,3466,1778,48,13103,11325,10544,10105,9806,9643,9534,9464,9421,9401,9380,9368,9361,9356,9356,9356,9356,9356,9356,9356,9356,9356,9356,9356,9354,9349,9333,9267,9109,8715,7849,6503,4935,3665,2618,1750,1183,784,505,321,217,139,85,45,21,12,3,,,,,,,,,,
7,25269,8380,4173,58,16889,12716,10889,9897,9378,9094,8945,8843,8779,8728,8686,8661,8626,8593,8573,8558,8541,8525,8508,8497,8492,8489,8489,8489,8489,8489,8489,8489,8489,8489,8489,8472,8378,8117,7683,7194,6702,6242,5771,5350,4937,4327,3425,2364,1648,1204,905,692,537,408,300,198,116,58,34,15,5
8,31523,14632,6937,44,16891,9954,7090,5740,4984,4539,4218,3982,3805,3652,3484,3329,3188,3006,2757,2476,2212,1978,1763,1558,1382,1270,1205,1164,1133,1110,1094,1073,1044,1004,951,881,794,687,550,410,251,136,71,32,15,7,3,,,,,,,,,,,,,,
9,31002,18075,7596,28,12927,5331,2539,1518,1084,824,664,554,463,405,359,311,266,222,176,141,108,88,71,59,48,41,35,27,20,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24786,16735,5501,10,8051,2550,811,287,142,68,35,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17919,13043,3613,28,4876,1263,436,200,149,128,119,112,107,107,107,107,107,107,105,99,92,81,69,59,48,41,35,27,20,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12506,9539,2471,5,2967,496,116,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8466,6808,1450,5,1658,208,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5556,4520,869,5,1036,167,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3492,2909,513,5,583,70,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
